Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 17.65      0.03     0.03 14507024     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const
 11.77      0.05     0.02 20737166     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
 11.77      0.07     0.02   100000     0.00     0.00  RBTree::insert(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned long long)
 11.77      0.09     0.02    58236     0.00     0.00  RBTree::removeBalance(RBTree::Node*, Side)
  5.88      0.10     0.01 14507024     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const
  5.88      0.11     0.01   797829     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const
  5.88      0.12     0.01   400000     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  5.88      0.13     0.01   200000     0.00     0.00  RBTree::_find(RBTree::Node*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  5.88      0.14     0.01   197828     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator()
  5.88      0.15     0.01   100000     0.00     0.00  RBTree::_remove(RBTree::Node*)
  5.88      0.16     0.01    48914     0.00     0.00  RBTree::minNode(RBTree::Node*)
  5.88      0.17     0.01     1603     0.01     0.01  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  0.00      0.17     0.00 16153770     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.00      0.17     0.00 14907024     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator() const
  0.00      0.17     0.00  6230141     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::data() const
  0.00      0.17     0.00  6230141     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
